Date;Flower;Color;Units Selection
02/10/2024 0:00;Gypso;White;1500
02/10/2024 0:00;Hybrid Lilies;DarkPink;0
02/10/2024 0:00;Hybrid Lilies;Orange;2800
02/10/2024 0:00;Hybrid Lilies;Pink;1000
02/10/2024 0:00;Hybrid Lilies;White;1000
02/10/2024 0:00;Hybrid Lilies;Yellow;1000
02/10/2024 0:00;Hydrangeas;Green;20
02/10/2024 0:00;Hydrangeas;Tinted Blue;0
02/10/2024 0:00;Hydrangeas;Tinted Pink;128
02/10/2024 0:00;Hydrangeas;Tinted Yellow;138
02/10/2024 0:00;Hydrangeas;White;964
02/10/2024 0:00;Iconfetti;DarkPink;160
02/10/2024 0:00;Iconfetti;Light Bronze;3950
02/10/2024 0:00;Iconfetti;Orange;2010
02/10/2024 0:00;Iconfetti;White;3770
02/10/2024 0:00;Iconfetti;Yellow;430
02/10/2024 0:00;Leather Leaf;Green;2100
02/10/2024 0:00;Liriope;Green;6000
02/10/2024 0:00;Matsumoto;DarkPink;1200
02/10/2024 0:00;Matsumoto;Purple;4500
02/10/2024 0:00;Micropompon Button;Pink;900
02/10/2024 0:00;Micropompon Button;Purple;1850
02/10/2024 0:00;Micropompon Button;Red;3450
02/10/2024 0:00;Micropompon Button;White;1100
02/10/2024 0:00;Micropompon Button;Yellow;7870
02/10/2024 0:00;Micropompon Daisy;Green;830
02/10/2024 0:00;Micropompon Daisy;Lavender;4700
02/10/2024 0:00;Micropompon Daisy;Purple;2210
02/10/2024 0:00;Micropompon Daisy;Red;3400
02/10/2024 0:00;Micropompon Daisy;White;1760
02/10/2024 0:00;Micropompon Daisy;Yellow;1370
02/10/2024 0:00;Minicarnation;Earth Tones;600
02/10/2024 0:00;Minicarnation;Orange;2400
02/10/2024 0:00;Minicarnation;Pink;2400
02/10/2024 0:00;Mum Ball;Bronze;800
02/10/2024 0:00;Mum Ball;Green;1550
02/10/2024 0:00;Mum Ball;Lavender;20
02/10/2024 0:00;Mum Ball;Orange;20
02/10/2024 0:00;Mum Ball;Purple;20
02/10/2024 0:00;Mum Ball;Red;20
02/10/2024 0:00;Mum Ball;White;940
02/10/2024 0:00;Mum Ball;Yellow;2470
02/10/2024 0:00;Novelty;Bronze;1100
02/10/2024 0:00;Novelty;Button Dark Bronze;4544
02/10/2024 0:00;Novelty;Button Green;14172
02/10/2024 0:00;Novelty;Button Lavender;650
02/10/2024 0:00;Novelty;Button Purple;5820
02/10/2024 0:00;Novelty;Button Red;1312
02/10/2024 0:00;Novelty;Button White;2550
02/10/2024 0:00;Novelty;Button Yellow;2290
02/10/2024 0:00;Novelty;Lavender;470
02/10/2024 0:00;Novelty;Light Bronze;6550
02/10/2024 0:00;Novelty;Pink;850
02/10/2024 0:00;Novelty;Purple;340
02/10/2024 0:00;Novelty;Red;250
02/10/2024 0:00;Novelty;White;2598
02/10/2024 0:00;Novelty;Yellow;4500
02/10/2024 0:00;Pittosporum;Green;2400
02/10/2024 0:00;Rose - Color;Novelty Orange;360
02/10/2024 0:00;Rose - Color;Novelty Pink;720
02/10/2024 0:00;Rose - Color;Orange;5472
02/10/2024 0:00;Rose - Color;Pink;3168
02/10/2024 0:00;Rose - Color;Yellow;2880
02/10/2024 0:00;Rose - Red;Red;2448
02/10/2024 0:00;Ruscus;Green;100
02/10/2024 0:00;Ruscus;Tinted Burgundy;6000
02/10/2024 0:00;Ruscus;Tinted Metallic Purple;110
02/10/2024 0:00;Sinensis;White;4500
02/10/2024 0:00;Solidago;Tinted Burgundy;2700
02/10/2024 0:00;Solidago;Tinted Orange;60
02/10/2024 0:00;Solidago;Yellow;5000
02/10/2024 0:00;Spider;White;5100
02/10/2024 0:00;Statice;Purple;5600
02/10/2024 0:00;Stock Spray;DarkPink;1750
02/10/2024 0:00;Stock Spray;Lavender;0
02/10/2024 0:00;Stock Spray;Pink;500
02/10/2024 0:00;Stock Spray;Purple;2000
02/10/2024 0:00;Stock Spray;White;0
02/10/2024 0:00;Stock Spray;Yellow;1000
02/10/2024 0:00;Suc Blue Star;Blue;40
02/10/2024 0:00;Suc Bord Rose;Novelty Red;160
02/10/2024 0:00;Suc Cabbage;White;10
02/10/2024 0:00;Suc Curly Red;Red;20
02/10/2024 0:00;Suc Elegans Green;Green;10
02/10/2024 0:00;Suc Perle Von Nurnberg;Pink;160
02/10/2024 0:00;Sunflowers;Yellow;8320
02/10/2024 0:00;Super Mums;Pink;2000
02/10/2024 0:00;Super Mums;White;4890
02/10/2024 0:00;Sweet William;DarkPink;0
03/10/2024 0:00;Alstroemeria;Burgundy;0
03/10/2024 0:00;Alstroemeria;DarkPink;7200
03/10/2024 0:00;Alstroemeria;Green;0
03/10/2024 0:00;Alstroemeria;Lavender;4000
03/10/2024 0:00;Alstroemeria;Orange;14000
03/10/2024 0:00;Alstroemeria;Peach;0
03/10/2024 0:00;Alstroemeria;Pink;5200
03/10/2024 0:00;Alstroemeria;Purple;7200
03/10/2024 0:00;Alstroemeria;Red;6400
03/10/2024 0:00;Alstroemeria;White;13600
03/10/2024 0:00;Alstroemeria;Yellow;10800
03/10/2024 0:00;Carnation;Burgundy;2000
03/10/2024 0:00;Carnation;DarkPink;7000
03/10/2024 0:00;Carnation;Earth Tones;1500
03/10/2024 0:00;Carnation;Green;500
03/10/2024 0:00;Carnation;Lavender;2000
03/10/2024 0:00;Carnation;Mauve;500
03/10/2024 0:00;Carnation;Novelty Burgundy;1500
03/10/2024 0:00;Carnation;Novelty Lavender;500
03/10/2024 0:00;Carnation;Novelty Pink;2500
03/10/2024 0:00;Carnation;Novelty Purple;1500
03/10/2024 0:00;Carnation;Novelty Red;0
03/10/2024 0:00;Carnation;Novelty Yellow;1000
03/10/2024 0:00;Carnation;Orange;12425
03/10/2024 0:00;Carnation;Peach;2000
03/10/2024 0:00;Carnation;Peppermint;0
03/10/2024 0:00;Carnation;Pink;10000
03/10/2024 0:00;Carnation;Purple;4500
03/10/2024 0:00;Carnation;Red;3000
03/10/2024 0:00;Carnation;White;0
03/10/2024 0:00;Carnation;Yellow;6500
03/10/2024 0:00;Cocculus;Green;4800
03/10/2024 0:00;Cremon;Bronze;2800
03/10/2024 0:00;Cremon;Dark Bronze;150
03/10/2024 0:00;Cremon;Green;13430
03/10/2024 0:00;Cremon;Lavender;920
03/10/2024 0:00;Cremon;Light Bronze;4560
03/10/2024 0:00;Cremon;Novelty Lavender;900
03/10/2024 0:00;Cremon;Peach;910
03/10/2024 0:00;Cremon;Pink;2370
03/10/2024 0:00;Cremon;Purple;3050
03/10/2024 0:00;Cremon;Red;2850
03/10/2024 0:00;Cremon;White;7110
03/10/2024 0:00;Cremon;Yellow;5860
03/10/2024 0:00;Cushion;Assorted;1800
03/10/2024 0:00;Cushion;Cream;600
03/10/2024 0:00;Cushion;Dark Bronze;5700
03/10/2024 0:00;Cushion;Earth Tones;410
03/10/2024 0:00;Cushion;Green;660
03/10/2024 0:00;Cushion;Lavender;5402
03/10/2024 0:00;Cushion;Light Bronze;8242
03/10/2024 0:00;Cushion;Peach;450
03/10/2024 0:00;Cushion;Pink;3820
03/10/2024 0:00;Cushion;Purple;7750
03/10/2024 0:00;Cushion;Red;9706
03/10/2024 0:00;Cushion;Tinted Assorted;4000
03/10/2024 0:00;Cushion;White;39517
03/10/2024 0:00;Cushion;Yellow;13390
03/10/2024 0:00;Daisy;Bicolor Bronze;13060
03/10/2024 0:00;Daisy;Bronze;9750
03/10/2024 0:00;Daisy;DarkPink;2400
03/10/2024 0:00;Daisy;Lavender;6333
03/10/2024 0:00;Daisy;Light Bronze;4940
03/10/2024 0:00;Daisy;Novelty Lavender;9720
03/10/2024 0:00;Daisy;Novelty Purple;490
03/10/2024 0:00;Daisy;Novelty Yellow;8070
03/10/2024 0:00;Daisy;Orange;9190
03/10/2024 0:00;Daisy;Peach;270
03/10/2024 0:00;Daisy;Pink;2400
03/10/2024 0:00;Daisy;Purple;6450
03/10/2024 0:00;Daisy;Red;8408
03/10/2024 0:00;Daisy;White;35030
03/10/2024 0:00;Daisy;Yellow;1860
03/10/2024 0:00;Dianthus Ball;Burgundy;900
03/10/2024 0:00;Dianthus Ball;DarkPink;300
03/10/2024 0:00;Dianthus Ball;Novelty Purple;0
03/10/2024 0:00;Dianthus Ball;Pink;300
